"name";"url"
"funk";"https://embed.spotify.com/?uri=spotify:playlist:0MBvtOIm5fuBbRHEltDY8A"
"quiet storm";"https://embed.spotify.com/?uri=spotify:playlist:66k6nBXFo6of5ckPWCuCSi"
"motown";"https://embed.spotify.com/?uri=spotify:playlist:28UOzZyORCx38D8dKe3fsq"
"japanese teen pop";"https://embed.spotify.com/?uri=spotify:playlist:6Wz5IiVGjSDWQmMlPxHcjg"
"brazilian hip hop";"https://embed.spotify.com/?uri=spotify:playlist:2CBOZqWolmSfOeXAo8mCFZ"
"gruperas inmortales";"https://embed.spotify.com/?uri=spotify:playlist:7fwQCsCDYxnmWtXUkETn3v"
"kleine hoerspiel";"https://embed.spotify.com/?uri=spotify:playlist:27XLynMa4krkiA9piuqyT1"
"indie poptimism";"https://embed.spotify.com/?uri=spotify:playlist:7nHgmv7uyIA1KHj6qTttjH"
"dream pop";"https://embed.spotify.com/?uri=spotify:playlist:2A5zN7OTP4n64gEtsFEO2Z"
"rap conscient";"https://embed.spotify.com/?uri=spotify:playlist:3kYWjrbBEvI8n3bPI2ZRml"
"neo-synthpop";"https://embed.spotify.com/?uri=spotify:playlist:2U7wEb4EEDbiAs3CCOoUfn"
"funk rock";"https://embed.spotify.com/?uri=spotify:playlist:2v7uYvX2h5hNSukaqp9LCb"
"easy listening";"https://embed.spotify.com/?uri=spotify:playlist:47RSt6JBM6AbqBxtggW1Jk"
"bolero";"https://embed.spotify.com/?uri=spotify:playlist:40h91GpdbHja6VVsnetD0r"
"g funk";"https://embed.spotify.com/?uri=spotify:playlist:7c1Z3aCJLt7YisQQyXwypK"
"barbadian pop";"https://embed.spotify.com/?uri=spotify:playlist:4skZam98b2PwmuWxS8fAT5"
"progressive rock";"https://embed.spotify.com/?uri=spotify:playlist:1sYzsb7P37XzNZoUR2GGdm"
"eurodance";"https://embed.spotify.com/?uri=spotify:playlist:4jw4G9J55p7tXV2xEAGUj4"
"hardcore hip hop";"https://embed.spotify.com/?uri=spotify:playlist:0iMt55EhVZULr9oClWtyOX"
"bachata";"https://embed.spotify.com/?uri=spotify:playlist:5CllQE0jNYEbZWEjyhDD6J"
"australian dance";"https://embed.spotify.com/?uri=spotify:playlist:3iiCEjJsCfkP18Xfqv9fZi"
"neon pop punk";"https://embed.spotify.com/?uri=spotify:playlist:52NjfVJ2mAEaeOorFvrGvk"
"emo";"https://embed.spotify.com/?uri=spotify:playlist:4eC7Sa1Xcy33lKn53gfiZb"
"trap boricua";"https://embed.spotify.com/?uri=spotify:playlist:4fWARp37Pjz3rf3WvVIAFz"
"brazilian rock";"https://embed.spotify.com/?uri=spotify:playlist:3nExI3KhiOs9fFobjdHzfj"
"funk paulista";"https://embed.spotify.com/?uri=spotify:playlist:6YHx5ZIQqpfrxKEsw77EDU"
"pop venezolano";"https://embed.spotify.com/?uri=spotify:playlist:0dYg5qMtoE1qT37H7YBNLf"
"cantautor";"https://embed.spotify.com/?uri=spotify:playlist:2KMAWk6brKSc3lVAsRZIMH"
"chanson";"https://embed.spotify.com/?uri=spotify:playlist:6IyBSGUEuApnT6miXVlKLf"
"drift phonk";"https://embed.spotify.com/?uri=spotify:playlist:19sgQqGAcGplazJZTXeLUG"
